SujetId,Terme,LienWikidata,Verifie
19995,PRODUCTION À ÉPISODES,http://www.wikidata.org/entity/Q5398426,0
20076,COMÉDIE MUSICALE,http://www.wikidata.org/entity/Q1548170,1
20068,VAMPIRE,http://www.wikidata.org/entity/Q2137852,1
20003,PRODUCTION POUR LA FAMILLE,http://www.wikidata.org/entity/Q1361932,1
20015,INFORMATION,,
20019,INTERVIEW-VARIÉTÉS,,
20070,VIDÉOCLIP,http://www.wikidata.org/entity/Q193977,1
19956,ANTHROPOLOGIE,,
19975,CULTURE,,
19961,CAPE ET D'ÉPÉE,http://www.wikidata.org/entity/Q222639,1
20014,PRODUCTION POUR L'INDUSTRIE,,
20012,HOMOSEXUALITÉ,,
20008,GANGSTERS,http://www.wikidata.org/entity/Q7444356,1
20067,TRUCAGE,,
20038,PASTEL ANIMÉ,,
20049,SANTÉ-SÉCURITÉ,,
20023,JEU-QUESTIONNAIRE,,
20045,PROPAGANDE,http://www.wikidata.org/entity/Q1935609,1
19992,PRODUCTION SUR LES ENFANTS,,
19962,CATASTROPHE,http://www.wikidata.org/entity/Q846544,1
20016,INTERLUDE,,
19959,AVIATION,,
20044,PORNOGRAPHIE,http://www.wikidata.org/entity/Q185529,1
20072,CINÉMA SOCIAL,,
20041,PIRATE,http://www.wikidata.org/entity/Q2096633,1
20017,PRODUCTION POUR INTERNET,,
25037,EXPÉRIMENTAL,http://www.wikidata.org/entity/Q790192,1
25062,AMATEUR,http://www.wikidata.org/entity/Q455620,1
4076,ÉROTISME,http://www.wikidata.org/entity/Q599558,1
16,"3-D, FILMS",http://www.wikidata.org/entity/Q229390,1
